Year,Temp,Anomaly
2000,47.3,-0.1
2001,46.2,-1.2
2002,46.8,-0.6
2003,48.5,1.1
2004,47.9,0.5
2005,48,0.6
2006,47.5,0.1
2007,46.9,-0.5
2008,45.7,-1.7
2009,46.7,-0.7
2010,46.5,-0.9
2011,45.7,-1.7
2012,46.6,-0.8
2013,47.8,0.4
2014,47.4,0
2015,50.1,2.7
2016,48.9,1.5
2017,47,-0.4
2018,47.6,0.2
2019,47,-0.4
2020,47.6,0.2
2021,48.6,1.2
