Year,Temp,Anomaly
2000,48.5,0.4
2001,47.3,-0.8
2002,47.6,-0.5
2003,49.2,1.1
2004,48.4,0.3
2005,48,-0.1
2006,47.9,-0.2
2007,48,-0.1
2008,46.3,-1.8
2009,48.1,0
2010,46.4,-1.7
2011,46.4,-1.7
2012,47.8,-0.3
2013,48.1,0
2014,48.6,0.5
2015,50.7,2.6
2016,49.1,1
2017,48,-0.1
2018,48.3,0.2
2019,47.4,-0.7
2020,48.3,0.2
2021,49.4,1.3
