Year,Temp,Anomaly
2000,67.6,1.6
2001,64.6,-1.4
2002,65.7,-0.3
2003,64.8,-1.2
2004,65.4,-0.6
2005,66,0
2006,67.1,1.1
2007,64.6,-1.4
2008,66,0
2009,66.2,0.2
2010,64.4,-1.6
2011,67.6,1.6
2012,67.3,1.3
2013,66.1,0.1
2014,64.2,-1.8
2015,65.3,-0.7
2016,66.9,0.9
2017,67.9,1.9
2018,66.8,0.8
2019,65.6,-0.4
2020,66.4,0.4
2021,65.2,-0.8
