Year,State,co,no2,o3,pm25,so2
2000,Alabama,0.3243962794887056,5.983592769805964,57.601273483203606,15.064598067320654,3.2518175691724194
2000,Arkansas,0.327984455218286,6.059882301125764,53.94255144507095,12.07696217985096,2.859270688188132
2000,Arizona,0.4222652976201355,9.915900545942028,58.282240392659965,7.40038324564126,2.343078021586656
2000,California,0.4623931822026577,10.756097948263637,48.63581526416693,10.896778941339914,1.9308571579023854
2000,Colorado,0.3838614875232624,8.429846905909782,59.83663899709839,5.501561477289765,2.511781964799571
2000,Connecticut,0.43121842690586154,13.493690303172174,44.0939405597895,11.036685654053901,4.020771500350785
2000,Delaware,0.39852243261723963,9.591163859844297,52.2136479801756,13.645087724338934,4.6600761132009065
2000,Florida,0.3768396578393042,6.763039186992442,45.732860570980755,11.127538606872564,2.4471186602118915
2000,Georgia,0.33026890556138494,6.155635159014436,55.85383965598238,14.971330561197544,2.9531487771143463
2000,Iowa,0.32904702647690626,6.481277415252122,45.14453239847604,9.944117803975159,2.3189684098931793
2000,Idaho,0.43824962996581523,6.745139760641371,50.4416440612132,7.004395421831535,2.379268413358481
2000,Illinois,0.3675903114144259,8.760771635001667,48.73098581017791,13.793601776707094,3.6378253652796144
2000,Indiana,0.35420287115079196,8.416531841981621,51.00144432661423,14.71640783744547,4.735377699725952
2000,Kansas,0.4302822767921582,5.955563153653745,54.91043487055983,9.348022565423703,2.3590545544384005
2000,Kentucky,0.29013798912898114,7.957281090963329,53.569334071440004,14.93667588504943,4.470682622677619
2000,Louisiana,0.32705956597346103,6.854984934253217,52.3510610253145,12.27167143602992,2.7976682553203625
2000,Massachusetts,0.43803711920223615,12.25745661070377,41.79449286682791,10.573096768941847,3.968939716003469
2000,Maryland,0.3773173540489756,10.129911947621377,51.382079590452655,13.952996964668655,5.4987739925131045
2000,Maine,0.3300307842115129,5.067321661577975,38.263848137338414,7.1416725540609844,2.305487957793678
2000,Michigan,0.2848142581064485,7.1635479636812684,44.215173270271734,9.652545325952616,2.5082318137919564
2000,Minnesota,0.35862019125492395,6.9884861328990695,42.16260219345962,9.178332205876687,1.945075508088015
2000,Missouri,0.37091697602818774,6.610183430001299,52.59545001929294,11.730048582836469,2.9465399263971093
2000,Mississippi,0.31013684853080853,5.412274857815657,56.59772857622075,12.712402655244087,2.5864042229637136
2000,Montana,0.4219328020363848,5.881343888565951,45.31301981632953,7.603763344714355,2.3671200814049653
2000,North Carolina,0.3613524844437317,6.93630918427531,55.37863556180621,13.563129139832254,3.692341402198791
2000,North Dakota,0.4179733652706367,4.583721493343628,40.048642453913345,6.386415242531604,1.837386995312135
2000,Nebraska,0.4021767724740396,5.961581733428168,47.76794709928841,7.703014713382702,2.1052543859163992
2000,New Hampshire,0.33135184300011067,6.501943174073418,38.17354506651734,7.70950087654933,3.032391588358879
2000,New Jersey,0.5342122980725189,16.208012390187996,48.72234308655098,13.078309934484672,5.129699288185192
2000,New Mexico,0.39051334223994494,7.026988869787278,58.884531311941494,5.249828006875652,2.2924652515813553
2000,Nevada,0.398559741861983,8.055164357999052,55.37902481977982,6.6654666505451825,1.9549961701255913
2000,New York,0.38827104745530217,11.044918345588497,43.83923475740715,10.39070327507784,3.560739186538735
2000,Ohio,0.3201351692882698,9.159610633538177,51.853099208618616,15.432284388342682,5.086721211562832
2000,Oklahoma,0.39568576536597005,5.86781668044377,55.88435318100468,9.795608939022488,2.795331092544065
2000,Oregon,0.5277514925332774,7.371813393077637,39.420445314040904,7.586447656561798,1.8733800995200558
2000,Pennsylvania,0.32934157246033297,10.011806408303807,48.30240453256454,13.184677779398251,5.638085358206022
2000,Rhode Island,0.5087801632535236,12.22349240414594,44.1683364813415,10.3852996188831,4.327674372069916
2000,South Carolina,0.35429714705486426,5.782164783129301,55.640181041212244,13.949322323995913,2.6563899291619792
2000,South Dakota,0.3911210925331299,5.389680725337695,44.29421858907825,6.8323157358755795,2.0181658873570325
2000,Tennessee,0.327402810760564,8.206128249107117,57.539694042648335,14.875039480778694,3.7378236167507777
2000,Texas,0.3169486812694388,6.136630318774868,50.98605061357745,9.641089925055782,2.3648042715984054
2000,Utah,0.3833370193187754,9.786449301924597,60.293444827322816,6.532001344774131,2.1343241848400885
2000,Virginia,0.35937728450893525,8.905434336731087,52.33042659933111,13.13422889372633,4.288093919010261
2000,Vermont,0.32243645717756736,6.339561141276468,38.86478003509817,6.838419316759892,2.8024354567167324
2000,Washington,0.5119707335009535,8.08122666506746,37.08398496321706,7.57140061408859,1.7526917097784172
2000,Wisconsin,0.2926467503547656,7.189764215291526,43.46008877605429,10.091649162689574,2.6292443378305066
2000,West Virginia,0.31519882724507076,8.846017705359266,52.560695365902724,13.941666213703396,5.383797010976081
2000,Wyoming,0.39275196424069514,7.796099512670818,53.09176161757811,6.638767633056354,2.4097017704970605
2001,Alabama,0.2891476507488052,5.57414095708957,51.97347318474767,12.45555169802435,2.296940476446958
2001,Arkansas,0.3154861570395295,6.2007056759425945,50.11407465608717,11.25435385769129,2.3398638724096332
2001,Arizona,0.4256924841591346,8.567559586788661,55.012054687931915,6.251265715218962,2.548175065349476
2001,California,0.4332325520831758,9.964283136824212,49.82215815027236,10.488238041934837,2.0112760069643736
2001,Colorado,0.3950823728086024,9.989742721090916,58.70477474478548,6.026113363353871,3.3294361676004796
2001,Connecticut,0.40646047647255823,13.474606289094362,50.77357075022249,11.433621837843937,4.137870047971047
2001,Delaware,0.37187961713279766,10.828218027395794,56.48141909712916,13.783744499359335,4.0807322210654835
