Year,State,CO,NO2,SO2,O3,PM2.5
2002,Alabama,0.6715165000000001,5.865513,2.3536496,0.044876250000000006,14.086733105263153
2002,Arizona,0.891101380952381,19.402168333333332,3.720998666666667,0.050519333333333326,9.746759333333333
2002,Arkansas,0.595566,15.66202,2.6400516666666665,0.043574,11.81057685185185
2002,California,0.5996143440860217,16.339365921739127,1.6066443333333333,0.04460293617021275,14.396673556521742
2002,Colorado,0.7065152142857142,16.6649825,3.1190879999999996,0.050209411764705884,8.187605478260869
2002,Connecticut,0.8089323333333334,18.948759499999998,4.435319285714287,0.052987060606060614,13.218306215686276
2002,Delaware,0.474173,18.912127,4.017202,0.05008085714285715,14.33894325925926
2002,District of Columbia,0.6190070952380952,9.832501571428569,2.7404596428571426,0.03918819298245615,9.2000398125
2002,Florida,0.6190070952380952,9.832501571428569,2.7404596428571426,0.03918819298245615,9.2000398125
2002,Georgia,0.5154913333333333,12.2833714,2.5803621,0.04651327272727272,14.232484153846155
2002,Idaho,0.62572775,9.5031045,3.916790666666666,0.051557000000000006,9.05521575862069
2002,Illinois,0.7770186666666666,19.452138818181815,3.941965304347826,0.044650560975609765,14.76198235135135
2002,Indiana,0.6895186,14.293510999999999,5.353110294117648,0.05523119047619048,14.918105140350875
2002,Iowa,0.5285607999999999,7.104552000000001,2.476783272727273,0.043352076923076924,10.690757111111111
2002,Kansas,0.41049099999999994,8.716409,1.8580174,0.04595900000000001,11.404663874999997
2002,Kentucky,0.416859,12.044963666666666,3.409581466666666,0.0476099090909091,14.518864839999999
2002,Louisiana,0.6406396666666666,9.483474666666668,3.4204205,0.03785914285714286,11.026286307692308
2002,Maine,0.367015,13.956078,2.8724982500000005,0.04422333333333334,
2002,Maryland,0.534118,17.085071,5.732055,0.053014619047619026,14.652094745762708
2002,Massachusetts,0.5073775454545455,14.846041055555556,4.386285,0.047178588235294125,11.772643067567566
2002,Michigan,0.362035125,19.057255750000003,3.109840222222222,0.04978242307692306,13.250976911764706
2002,Minnesota,0.3615514,11.0997174,0.8434276666666666,0.04231877777777778,9.82841612
2002,Mississippi,0.360009,5.3144946666666675,1.6358510000000002,0.0433332,11.800846882352939
2002,Missouri,0.5270365714285715,12.456729812499999,3.5506713750000003,0.04870823809523809,13.352997999999998
2002,Montana,0.6692663333333333,3.8933280000000003,2.8957476666666664,0.039251999999999995,8.426825142857144
2002,Nebraska,0.5501603333333334,,0.62404,0.0379055,8.932567647058823
2002,Nevada,0.6264291200000001,11.2484432,0.30645300000000003,0.045801958333333316,7.4083244
2002,New Hampshire,0.3652865,10.221454333333334,3.3974142,0.04526549999999999,9.585094233333336
2002,New Jersey,0.7334541428571429,22.620906444444447,4.822454571428572,0.05156779999999999,13.305821735294119
2002,New Mexico,0.5274019999999999,8.039336083333334,0.7979571111111111,0.047106793103448286,7.289146692307693
2002,New York,0.5629334285714285,24.92817811111111,4.7795925,0.047211,12.61129365573771
2002,North Carolina,0.6245385384615385,14.629797,3.6320935,0.053908270833333334,13.13224095918367
2002,North Dakota,,2.6150266249999996,1.2970602222222223,0.04314883333333333,5.710742111111111
2002,Ohio,0.5222304375,20.40169625,5.834958028571428,0.051483160000000014,15.906353903846156
2002,Oklahoma,0.41338644444444456,9.185117444444444,3.0122665555555557,0.04574633333333333,10.196539812500001
2002,Oregon,1.0873521666666668,12.042159,,0.03913125,9.69999957142857
2002,Pennsylvania,0.3301020384615384,15.151904965517241,7.196969146341463,0.05088484090909087,15.517832097560976
2002,Rhode Island,0.7039815,9.891536,5.3631955,0.050910000000000004,10.408948238095238
2002,South Carolina,0.504508,7.064150999999999,1.839522909090909,0.04982760869565216,12.367541671875003
2002,South Dakota,,1.675442,0.3522305,0.048446,7.630228636363636
2002,Tennessee,0.7026619000000001,11.855005625,4.526258695652174,0.05114846153846154,13.639243250000002
2002,Texas,0.48424400000000006,10.85670255263158,1.3221866666666662,0.04143014925373134,10.40926652873563
2002,Utah,0.9316344545454546,23.594448999999997,2.3347308,0.056870590909090905,12.22721785
2002,Vermont,0.722582,10.785345,4.790986,0.047451,10.106233562499998
2002,Virginia,0.4713051666666666,15.512596083333333,4.220220727272729,0.05224248000000001,13.33990535416667
2002,Washington,1.001922375,18.910077,1.67,0.03676516666666666,8.59979252777778
2002,West Virginia,0.9887932500000001,,9.535539272727274,0.051157375,15.274587944444445
2002,Wisconsin,0.44250350000000005,17.096692,2.746848333333334,0.04748982352941175,11.009596413793101
2002,Wyoming,0.30465699999999996,2.552613,4.810685,0.050471,6.644946000000001
2003,Alabama,0.40791199999999994,6.1687259999999995,2.740217,0.04392099999999999,13.78472051351351
2003,Arizona,0.775165619047619,18.541817833333333,3.1499756666666663,0.050956953488372085,8.3552035
2003,Arkansas,0.466146,14.317106,2.0832415,0.044317,11.73897788888889
2003,California,0.5656414245283021,15.302378017699112,1.42630145,0.04392558695652175,12.518178220472445
2003,Colorado,0.67778,17.54431325,2.2716143333333334,0.0518910625,7.56216197142857
2003,Connecticut,0.82234,17.73554775,3.9542567142857146,0.04801654545454546,12.8368902
2003,Delaware,0.46980849999999996,18.982649,6.207176199999999,0.046685166666666666,13.908470374999998
2003,District of Columbia,0.6336284545454545,9.222891071428569,2.235025592592592,0.038644000000000005,9.105331529411766
2003,Florida,0.6336284545454545,9.222891071428569,2.235025592592592,0.038644000000000005,9.105331529411766
2003,Georgia,0.53365225,11.356510199999999,2.5212332222222225,0.04467480952380952,15.140495393939391
2003,Idaho,0.8768783333333334,7.543664,5.78742,0.0494635,7.166479142857142
